LAST NAME,FIRST NAME,MIDDLE NAME,STUDENT ID,COURSE NUMBER,COURSE NAME,COURSE ID,ROOM NUMBER,PERIOD
AGUILAR,AIDYN,J.,17,CourseNumber69,CourseName86,CourseID235,RoomNumber65,3
AGUILAR,BLAKE,J.,18,CourseNumber30,CourseName47,CourseID241,RoomNumber7,6
AGUILAR,BLAKE,J.,18,CourseNumber40,CourseName57,CourseID120,RoomNumber43,4
AGUILAR,BLAKE,J.,18,CourseNumber43,CourseName60,CourseID239,RoomNumber67,2
AGUILAR,BLAKE,J.,18,CourseNumber68,CourseName85,CourseID231,RoomNumber46,8
AGUILAR,BLAKE,J.,18,CourseNumber70,CourseName87,CourseID237,RoomNumber66,7
AGUILAR,BLAKE,J.,18,CourseNumber71,CourseName88,CourseID243,RoomNumber68,3
AGUILERA,AIDE,I.,19,CourseNumber1,CourseName2,CourseID248,RoomNumber69,3
AGUILERA,AIDE,I.,19,CourseNumber26,CourseName42,CourseID252,RoomNumber33,1
AGUILERA,AIDE,I.,19,CourseNumber32,CourseName49,CourseID256,RoomNumber39,8
AGUILERA,AIDE,I.,19,CourseNumber45,CourseName62,CourseID233,RoomNumber7,4
AGUILERA,AIDE,I.,19,CourseNumber5,CourseName9,CourseID12,RoomNumber8,2
AGUILERA,AIDE,I.,19,CourseNumber72,CourseName40,CourseID250,RoomNumber31,7
AGUILERA,AIDE,I.,19,CourseNumber73,CourseName90,CourseID254,RoomNumber70,5
AGUIRRE,BAMBELI,J.,20,CourseNumber48,CourseName65,CourseID264,RoomNumber72,2
AGUIRRE,BAMBELI,J.,20,CourseNumber6,CourseName12,CourseID17,RoomNumber111,1
AGUIRRE,BAMBELI,J.,20,CourseNumber74,CourseName91,CourseID260,RoomNumber25,8
AGUIRRE,BAMBELI,J.,20,CourseNumber75,CourseName92,CourseID262,RoomNumber71,6
AGUIRRE,BAMBELI,J.,20,CourseNumber76,CourseName93,CourseID268,RoomNumber57,7
AGUIRRE,BAMBELI,J.,20,CourseNumber77,CourseName94,CourseID270,RoomNumber20,5
AGUIRRE,BAMBELI,J.,20,CourseNumber9,CourseName17,CourseID266,RoomNumber7,3
AHMED,FATIMAH,K.,21,CourseNumber6,CourseName12,CourseID272,RoomNumber111,7
AHMED,FATIMAH,K.,21,CourseNumber78,CourseName15,CourseID275,RoomNumber73,4
AHMED,FATIMAH,K.,21,CourseNumber79,CourseName95,CourseID277,RoomNumber73,8
AHMED,FATIMAH,K.,21,CourseNumber80,CourseName96,CourseID279,RoomNumber74,3
AHMED,FATIMAH,K.,21,CourseNumber81,CourseName97,CourseID281,RoomNumber75,6
AHMED,FATIMAH,K.,21,CourseNumber82,CourseName98,CourseID283,RoomNumber76,1
AHMED,FATIMAH,K.,21,CourseNumber9,CourseName17,CourseID273,RoomNumber7,5
AHMED,FEARNE,J.,22,CourseNumber1,CourseName2,CourseID287,RoomNumber111,7
AHMED,FEARNE,J.,22,CourseNumber72,CourseName40,CourseID291,RoomNumber77,2
AHMED,FEARNE,J.,22,CourseNumber83,CourseName99,CourseID289,RoomNumber38,6
AHMED,FEARNE,J.,22,CourseNumber84,CourseName100,CourseID293,RoomNumber77,8
AHMED,FEARNE,J.,22,CourseNumber85,CourseName101,CourseID295,RoomNumber49,5
AHMED,FEARNE,J.,22,CourseNumber86,CourseName42,CourseID297,RoomNumber77,3
AHMED,FEARNE,J.,22,CourseNumber87,CourseName102,CourseID299,RoomNumber77,4
AKERS,BRENDON,L.,23,CourseNumber24,CourseName40,CourseID306,RoomNumber79,6
AKERS,BRENDON,L.,23,CourseNumber84,CourseName100,CourseID308,RoomNumber7,2
AKERS,BRENDON,L.,23,CourseNumber88,CourseName103,CourseID302,RoomNumber78,4
AKERS,BRENDON,L.,23,CourseNumber89,CourseName27,CourseID312,RoomNumber21,3
AKINS,AMAAR,M.,24,CourseNumber32,CourseName49,CourseID104,RoomNumber39,4
AKINS,AMAAR,M.,24,CourseNumber45,CourseName62,CourseID130,RoomNumber7,3
AKINS,AMAAR,M.,24,CourseNumber72,CourseName40,CourseID320,RoomNumber31,5
AKINS,AMAAR,M.,24,CourseNumber90,CourseName108,CourseID315,RoomNumber10,7
AKINS,AMAAR,M.,24,CourseNumber91,CourseName110,CourseID318,RoomNumber54,6
AKINS,AMAAR,M.,24,CourseNumber92,CourseName111,CourseID324,RoomNumber54,2
ALARCON,EDIE,N.,25,CourseNumber34,CourseName51,CourseID108,RoomNumber40,1
ALARCON,EDIE,N.,25,CourseNumber4,CourseName8,CourseID330,RoomNumber5,5
ALARCON,EDIE,N.,25,CourseNumber40,CourseName57,CourseID326,RoomNumber16,7
ALARCON,EDIE,N.,25,CourseNumber45,CourseName62,CourseID130,RoomNumber7,3
ALARCON,EDIE,N.,25,CourseNumber46,CourseName63,CourseID132,RoomNumber47,6
ALARCON,EDIE,N.,25,CourseNumber93,CourseName112,CourseID328,RoomNumber111,4
ALARCON,HARMONY,J.,26,CourseNumber1,CourseName2,CourseID332,RoomNumber3,1
ALARCON,HARMONY,J.,26,CourseNumber13,CourseName24,CourseID336,RoomNumber7,8
ALARCON,HARMONY,J.,26,CourseNumber37,CourseName54,CourseID338,RoomNumber41,3
ALARCON,HARMONY,J.,26,CourseNumber51,CourseName68,CourseID149,RoomNumber44,7
ALARCON,HARMONY,J.,26,CourseNumber73,CourseName90,CourseID340,RoomNumber70,4
ALARCON,HARMONY,J.,26,CourseNumber94,CourseName114,CourseID334,RoomNumber17,2
ALARCON,HARMONY,J.,26,CourseNumber95,CourseName116,CourseID342,RoomNumber81,5
ALBERT,ELISABETH,O.,27,CourseNumber68,CourseName85,CourseID231,RoomNumber46,8
ALBERT,ELISABETH,O.,27,CourseNumber72,CourseName40,CourseID250,RoomNumber31,7
ALBERT,ELISABETH,O.,27,CourseNumber84,CourseName100,CourseID346,RoomNumber7,4
ALBERT,ELISABETH,O.,27,CourseNumber91,CourseName110,CourseID318,RoomNumber54,6
ALBERT,ELISABETH,O.,27,CourseNumber92,CourseName111,CourseID324,RoomNumber54,2
ALBRECHT,COREY,J.,28,CourseNumber1,CourseName2,CourseID349,RoomNumber69,2
ALBRECHT,COREY,J.,28,CourseNumber13,CourseName24,CourseID352,RoomNumber7,5
ALBRECHT,COREY,J.,28,CourseNumber26,CourseName42,CourseID356,RoomNumber83,3
ALBRECHT,COREY,J.,28,CourseNumber31,CourseName48,CourseID354,RoomNumber18,7
ALBRECHT,COREY,J.,28,CourseNumber41,CourseName58,CourseID122,RoomNumber44,8
ALBRECHT,COREY,J.,28,CourseNumber94,CourseName114,CourseID350,RoomNumber40,6
ALBRIGHT,ABOBAKER,P.,29,CourseNumber53,CourseName70,CourseID363,RoomNumber16,1
ALBRIGHT,ABOBAKER,P.,29,CourseNumber54,CourseName71,CourseID163,RoomNumber54,3
ALBRIGHT,ABOBAKER,P.,29,CourseNumber57,CourseName74,CourseID369,RoomNumber13,5
ALBRIGHT,ABOBAKER,P.,29,CourseNumber6,CourseName12,CourseID360,RoomNumber111,7
ALBRIGHT,ABOBAKER,P.,29,CourseNumber63,CourseName80,CourseID365,RoomNumber53,4
ALBRIGHT,ABOBAKER,P.,29,CourseNumber9,CourseName17,CourseID367,RoomNumber7,8
ALBRIGHT,ABOBAKER,P.,29,CourseNumber96,CourseName118,CourseID361,RoomNumber30,6
ALCALA,DANNII,Q.,30,CourseNumber16,CourseName27,CourseID379,RoomNumber87,1
ALCALA,DANNII,Q.,30,CourseNumber34,CourseName51,CourseID375,RoomNumber85,8
ALCALA,DANNII,Q.,30,CourseNumber45,CourseName62,CourseID233,RoomNumber7,4
ALCALA,DANNII,Q.,30,CourseNumber97,CourseName120,CourseID373,RoomNumber29,3
ALCALA,DANNII,Q.,30,CourseNumber98,CourseName122,CourseID377,RoomNumber86,5
ALDRIDGE,DESTINEE,R.,31,CourseNumber53,CourseName70,CourseID382,RoomNumber84,7
ALDRIDGE,DESTINEE,R.,31,CourseNumber57,CourseName74,CourseID388,RoomNumber13,4
ALDRIDGE,DESTINEE,R.,31,CourseNumber6,CourseName12,CourseID381,RoomNumber111,6
ALDRIDGE,DESTINEE,R.,31,CourseNumber65,CourseName82,CourseID390,RoomNumber63,2
ALDRIDGE,DESTINEE,R.,31,CourseNumber9,CourseName17,CourseID386,RoomNumber7,1
ALDRIDGE,DESTINEE,R.,31,CourseNumber94,CourseName114,CourseID384,RoomNumber40,8
ALDRIDGE,DESTINEE,R.,31,CourseNumber97,CourseName120,CourseID373,RoomNumber29,3
ALDRIDGE,DESTINEE,R.,31,CourseNumber99,CourseName123,CourseID392,RoomNumber88,5
ALEMAN,EACHANN,J.,32,CourseNumber100,CourseName124,CourseID396,RoomNumber89,6
ALEMAN,EACHANN,J.,32,CourseNumber101,CourseName124,CourseID398,RoomNumber89,2
ALEMAN,EACHANN,J.,32,CourseNumber102,CourseName125,CourseID400,RoomNumber90,1
ALEMAN,EACHANN,J.,32,CourseNumber103,CourseName126,CourseID404,RoomNumber7,7
ALEMAN,EACHANN,J.,32,CourseNumber104,CourseName127,CourseID406,RoomNumber47,8
ALEMAN,EACHANN,J.,32,CourseNumber50,CourseName67,CourseID402,RoomNumber91,5
ALEMAN,EMILY-ROSE,J.,33,CourseNumber102,CourseName125,CourseID416,RoomNumber90,2
ALEMAN,EMILY-ROSE,J.,33,CourseNumber105,CourseName128,CourseID410,RoomNumber92,4
ALEMAN,EMILY-ROSE,J.,33,CourseNumber106,CourseName128,CourseID412,RoomNumber89,1
ALEMAN,EMILY-ROSE,J.,33,CourseNumber107,CourseName128,CourseID414,RoomNumber93,6
ALEMAN,EMILY-ROSE,J.,33,CourseNumber108,CourseName126,CourseID418,RoomNumber7,7
ALEMAN,EMILY-ROSE,J.,33,CourseNumber6,CourseName12,CourseID409,RoomNumber111,3
ALEMAN,EMILY-ROSE,J.,33,CourseNumber8,CourseName16,CourseID22,RoomNumber12,8
ALEXANDER,ARFA,S.,34,CourseNumber23,CourseName24,CourseID71,RoomNumber7,4
ALEXANDER,ARFA,S.,34,CourseNumber37,CourseName54,CourseID422,RoomNumber41,7
ALEXANDER,ARFA,S.,34,CourseNumber38,CourseName55,CourseID424,RoomNumber42,6
ALEXANDER,ARFA,S.,34,CourseNumber41,CourseName58,CourseID420,RoomNumber44,2
ALEXANDER,ARFA,S.,34,CourseNumber50,CourseName67,CourseID147,RoomNumber51,8
ALEXANDER,ARFA,S.,34,CourseNumber52,CourseName69,CourseID198,RoomNumber61,5
ALEXANDER,ARFA,S.,34,CourseNumber61,CourseName78,CourseID190,RoomNumber5,3
ALFARO,HAO,T.,35,CourseNumber1,CourseName2,CourseID428,RoomNumber34,3
ALFARO,HAO,T.,35,CourseNumber109,CourseName129,CourseID426,RoomNumber94,2
ALFARO,HAO,T.,35,CourseNumber13,CourseName24,CourseID352,RoomNumber7,5
ALFARO,HAO,T.,35,CourseNumber26,CourseName42,CourseID252,RoomNumber33,1
ALFARO,HAO,T.,35,CourseNumber31,CourseName48,CourseID354,RoomNumber18,7
ALFARO,HAO,T.,35,CourseNumber39,CourseName56,CourseID430,RoomNumber95,4
ALFARO,HAO,T.,35,CourseNumber50,CourseName67,CourseID147,RoomNumber51,8
ALFORD,DORIAN,U.,36,CourseNumber33,CourseName50,CourseID432,RoomNumber84,4
ALFORD,DORIAN,U.,36,CourseNumber34,CourseName51,CourseID436,RoomNumber40,5
ALFORD,DORIAN,U.,36,CourseNumber35,CourseName52,CourseID438,RoomNumber7,2
ALFORD,DORIAN,U.,36,CourseNumber36,CourseName53,CourseID112,RoomNumber8,3
ALFORD,DORIAN,U.,36,CourseNumber38,CourseName55,CourseID440,RoomNumber35,8
ALFORD,DORIAN,U.,36,CourseNumber39,CourseName56,CourseID442,RoomNumber81,6
ALFORD,DORIAN,U.,36,CourseNumber41,CourseName58,CourseID434,RoomNumber44,1
ALI,ABOBAKER,V.,37,CourseNumber110,CourseName130,CourseID446,RoomNumber50,4
ALI,ABOBAKER,V.,37,CourseNumber33,CourseName50,CourseID444,RoomNumber48,2
ALI,ABOBAKER,V.,37,CourseNumber34,CourseName51,CourseID448,RoomNumber85,7
ALI,ABOBAKER,V.,37,CourseNumber35,CourseName52,CourseID450,RoomNumber7,1
ALI,ABOBAKER,V.,37,CourseNumber36,CourseName53,CourseID112,RoomNumber8,3
ALI,ABOBAKER,V.,37,CourseNumber41,CourseName58,CourseID122,RoomNumber44,8
ALI,ABOBAKER,V.,37,CourseNumber65,CourseName82,CourseID221,RoomNumber63,5
ALLEN,HAMISH,J.,38,CourseNumber1,CourseName2,CourseID332,RoomNumber3,1
ALLEN,HAMISH,J.,38,CourseNumber13,CourseName24,CourseID38,RoomNumber7,3
ALLEN,HAMISH,J.,38,CourseNumber15,CourseName26,CourseID42,RoomNumber19,4
ALLEN,HAMISH,J.,38,CourseNumber24,CourseName40,CourseID452,RoomNumber79,2
ALLEN,HAMISH,J.,38,CourseNumber26,CourseName42,CourseID456,RoomNumber35,5
ALLEN,HAMISH,J.,38,CourseNumber31,CourseName48,CourseID454,RoomNumber52,7
ALLISON,ARIAN,W.,39,CourseNumber15,CourseName26,CourseID42,RoomNumber19,4
ALLISON,ARIAN,W.,39,CourseNumber35,CourseName52,CourseID465,RoomNumber7,6
ALLISON,ARIAN,W.,39,CourseNumber39,CourseName56,CourseID469,RoomNumber95,5
ALLISON,ARIAN,W.,39,CourseNumber47,CourseName64,CourseID460,RoomNumber43,7
ALLISON,ARIAN,W.,39,CourseNumber48,CourseName65,CourseID462,RoomNumber26,8
ALLISON,ARIAN,W.,39,CourseNumber49,CourseName66,CourseID467,RoomNumber49,1
ALLISON,ARIAN,W.,39,CourseNumber96,CourseName118,CourseID458,RoomNumber28,2
ALLISON,BROOKLYN,W.,40,CourseNumber111,CourseName131,CourseID473,RoomNumber51,6
ALLISON,BROOKLYN,W.,40,CourseNumber112,CourseName132,CourseID477,RoomNumber83,1
ALLISON,BROOKLYN,W.,40,CourseNumber21,CourseName34,CourseID79,RoomNumber29,5
ALLISON,BROOKLYN,W.,40,CourseNumber33,CourseName50,CourseID444,RoomNumber48,2
ALLISON,BROOKLYN,W.,40,CourseNumber35,CourseName52,CourseID475,RoomNumber7,8
ALLISON,BROOKLYN,W.,40,CourseNumber36,CourseName53,CourseID112,RoomNumber8,3
ALLISON,BROOKLYN,W.,40,CourseNumber39,CourseName56,CourseID430,RoomNumber95,4
ALLRED,DAYNA,X.,41,CourseNumber113,CourseName133,CourseID483,RoomNumber59,6
ALLRED,DAYNA,X.,41,CourseNumber48,CourseName65,CourseID481,RoomNumber79,4
ALLRED,DAYNA,X.,41,CourseNumber53,CourseName70,CourseID479,RoomNumber43,3
ALLRED,DAYNA,X.,41,CourseNumber57,CourseName74,CourseID219,RoomNumber60,7
ALLRED,DAYNA,X.,41,CourseNumber6,CourseName12,CourseID175,RoomNumber111,1
ALLRED,DAYNA,X.,41,CourseNumber66,CourseName83,CourseID485,RoomNumber39,5
ALLRED,DAYNA,X.,41,CourseNumber9,CourseName17,CourseID207,RoomNumber7,8
ALONSO,HAROLD,J.,42,CourseNumber100,CourseName124,CourseID396,RoomNumber89,6
ALONSO,HAROLD,J.,42,CourseNumber101,CourseName124,CourseID398,RoomNumber89,2
ALONSO,HAROLD,J.,42,CourseNumber102,CourseName125,CourseID489,RoomNumber90,7
ALONSO,HAROLD,J.,42,CourseNumber104,CourseName127,CourseID406,RoomNumber47,8
ALONSO,HAROLD,J.,42,CourseNumber35,CourseName52,CourseID493,RoomNumber7,5
ALONSO,HAROLD,J.,42,CourseNumber48,CourseName65,CourseID481,RoomNumber79,4
ALONSO,HAROLD,J.,42,CourseNumber75,CourseName92,CourseID491,RoomNumber71,3
ALONZO,BENEDEK,Y.,43,CourseNumber27,CourseName43,CourseID497,RoomNumber93,7
ALONZO,BENEDEK,Y.,43,CourseNumber53,CourseName70,CourseID211,RoomNumber16,2
ALONZO,BENEDEK,Y.,43,CourseNumber57,CourseName74,CourseID369,RoomNumber13,5
ALONZO,BENEDEK,Y.,43,CourseNumber6,CourseName12,CourseID17,RoomNumber111,1
ALONZO,BENEDEK,Y.,43,CourseNumber63,CourseName80,CourseID203,RoomNumber62,3
ALONZO,BENEDEK,Y.,43,CourseNumber65,CourseName82,CourseID495,RoomNumber63,6
ALONZO,BENEDEK,Y.,43,CourseNumber9,CourseName17,CourseID207,RoomNumber7,8
ALSTON,ELOISE,Z.,44,CourseNumber114,CourseName65,CourseID502,RoomNumber51,5
ALSTON,ELOISE,Z.,44,CourseNumber35,CourseName52,CourseID504,RoomNumber7,8
ALSTON,ELOISE,Z.,44,CourseNumber47,CourseName64,CourseID499,RoomNumber96,2
ALSTON,ELOISE,Z.,44,CourseNumber85,CourseName101,CourseID506,RoomNumber49,7
ALSTON,ELOISE,Z.,44,CourseNumber97,CourseName120,CourseID373,RoomNumber29,3
ALSTON,ELOISE,Z.,44,CourseNumber99,CourseName123,CourseID509,RoomNumber88,4
ALSTON,HAROON,Z.,45,CourseNumber115,CourseName27,CourseID520,RoomNumber99,7
ALSTON,HAROON,Z.,45,CourseNumber116,CourseName136,CourseID522,RoomNumber75,8
